English;German;Spanish;Russian
Cat-often;Katze-never;gato-rarely;кот-sometimes
Dog-sometimes;Hund-often;perro-never;собака-often
Sun-sometimes;Sonne-rarely;sol-sometimes;солнце-never
Moon-rarely;Mond-sometimes;luna-often;луна-sometimes
Water-often;Wasser-never;agua-rarely;вода-sometimes
Fire-sometimes;Feuer-rarely;fuego-often;огонь-never
Tree-rarely;Baum-sometimes;árbol-often;дерево-never
Grass-never;Gras-sometimes;hierba-often;трава-rarely
Food-often;Essen-rarely;comida-sometimes;еда-never
Drink-rarely;Trinken-sometimes;bebida-often;напиток-sometimes
Book-sometimes;Buch-never;libro-often;книга-rarely
Pen-rarely;Stift-sometimes;pluma-often;ручка-never
Car-often;Auto-rarely;coche-sometimes;машина-never
Rain-sometimes;Regen-often;lluvia-never;дождь-rarely
Snow-rarely;Schnee-sometimes;nieve-often;снег-never
Wind-often;Wind-never;viento-sometimes;ветер-rarely
Beach-never;Strand-sometimes;playa-often;пляж-rarely
Mountain-rarely;Berg-sometimes;montaña-often;гора-sometimes
City-often;Stadt-never;ciudad-rarely;город-sometimes
Country-sometimes;Land-never;país-rarely;страна-often
Music-often;Musik-never;música-rarely;музыка-sometimes
Dance-rarely;Tanz-sometimes;baile-often;танец-never
Sleep-never;Schlaf-sometimes;dormir-often;спать-rarely
Laugh-often;Lachen-rarely;reír-sometimes;смеяться-never
Cry-sometimes;Weinen-rarely;llorar-often;плакать-never
Love-sometimes;Liebe-rarely;amor-often;любовь-never
Hate-rarely;Hass-sometimes;odio-often;ненависть-never
Friend-sometimes;Freund-never;amigo-often;друг-rarely
Enemy-never;Feind-sometimes;enemigo-often;враг-rarely
Money-often;Geld-never;dinero-rarely;деньги-sometimes
Time-often;Zeit-often;tiempo-often;время-often
-;-;Test-never;-
